secuencia_rival_id,tipologia,cluster_trayectoria,period,match_time,point_order,ball_x_m,ball_y_m,tipo_finalizacion_tiro
1,T3,3.0,0,47530,0,7.7214,48.9536,0
1,T3,3.0,0,48010,1,7.7316,47.4688,0
1,T3,3.0,0,48530,2,7.7418,45.856,0
1,T3,3.0,0,48770,3,7.752,45.1136,0
1,T3,3.0,0,49250,4,7.752,43.6224,0
1,T3,3.0,0,49770,5,7.7724,42.016,0
1,T3,3.0,0,50250,6,7.7724,40.5248,0
1,T3,3.0,0,50530,7,7.505831036709326,40.282848407871526,0
1,T3,3.0,0,51010,8,7.754381274832234,38.504471695536246,0
1,T3,3.0,0,51530,9,7.814377080000001,36.748499200000005,0
1,T3,3.0,0,52010,10,8.253065004000002,33.21125696000001,0
1,T3,3.0,0,52530,11,8.49446412,29.872108800000003,0
1,T3,3.0,0,52770,12,9.853200000000001,27.1104,0
1,T3,3.0,0,53250,13,10.597800000000001,23.5776,0
1,T3,3.0,0,53770,14,11.403599999999999,19.7568,0
1,T3,3.0,0,54250,15,12.1482,16.2304,0
1,T3,3.0,0,54770,16,12.954,12.4096,0
1,T3,3.0,0,55010,17,13.3212,10.6496,0
1,T3,3.0,0,55530,18,14.127,6.8224,0
1,T3,3.0,0,56010,19,20.8692,8.1216,0
1,T3,3.0,0,56530,20,31.416,12.1344,0
1,T3,3.0,0,56770,21,36.281400000000005,13.984,0
1,T3,3.0,0,57250,22,46.0224,17.6896,0
1,T3,3.0,0,57770,23,51.387600000000006,22.1376,0
2,T3,3.0,0,125250,0,1.9659010799999999,27.828693759999997,0
2,T3,3.0,0,125770,1,7.4052,35.3024,0
2,T3,3.0,0,126010,2,9.455400000000001,38.1184,0
2,T3,3.0,0,126530,3,14.327265202994617,46.67426977527526,0
2,T3,3.0,0,126770,4,16.362602668094908,48.748405476470225,0
2,T3,3.0,0,127250,5,20.3368416,53.082444800000005,0
2,T3,3.0,0,127770,6,23.07026208,53.74573824000001,0
2,T3,3.0,0,128010,7,24.332679360000004,54.075182080000005,0
2,T3,3.0,0,128530,8,27.8154,54.2976,0
2,T3,3.0,0,128770,9,29.2638,54.5216,0
2,T3,3.0,0,129250,10,32.1402,54.9696,0
2,T3,3.0,0,129770,11,35.2614,55.4624,0
2,T3,3.0,0,130010,12,36.7098,55.6864,0
2,T3,3.0,0,130530,13,39.831,56.1728,0
2,T3,3.0,0,131010,14,42.7176,56.6272,0
2,T3,3.0,0,131250,15,44.1558,56.8512,0
2,T3,3.0,0,131770,16,48.7866,58.6048,0
2,T3,3.0,0,132010,17,50.979600000000005,59.4624,0
2,T3,3.0,0,132530,18,54.2946,60.8,0
2,T3,3.0,0,133010,19,56.7426,59.7952,0
2,T3,3.0,0,133250,20,58.0788,59.2448,0
2,T3,3.0,0,133770,21,60.955200000000005,58.048,0
2,T3,3.0,0,134010,22,62.2914,57.4912,0
2,T3,3.0,0,134530,23,65.178,56.2944,0
3,T3,3.0,0,275250,0,25.878986903639504,58.827028885596015,0
