cluster_trayectoria,punto,amenaza_media
0,0,0.04519116275982209
0,1,0.04560543221757163
0,2,0.04642573007627556
0,3,0.0480774738349679
0,4,0.049134458980856555
0,5,0.05044499243468235
0,6,0.05068628621773413
0,7,0.05260392866194308
0,8,0.05502791119354845
0,9,0.05917004115496194
0,10,0.0617711269190517
0,11,0.06453522006695844
0,12,0.06757574994715439
0,13,0.07138236786635631
0,14,0.07688670560747903
0,15,0.08419294374302484
0,16,0.09151744378197375
0,17,0.1002108793314695
0,18,0.10729123212250041
0,19,0.112659615648708
1,0,0.02114550893686965
1,1,0.021127585454695785
1,2,0.02098987592150366
1,3,0.02046917405547491
1,4,0.01990438920676207
1,5,0.019286894202812682
1,6,0.018662850198805453
1,7,0.018059592380089945
1,8,0.017833789568627172
1,9,0.01805927074671862
1,10,0.018164221936815845
1,11,0.018104046825103196
1,12,0.01798043637936504
1,13,0.01827765992507153
1,14,0.019369962941201403
1,15,0.02086298196319696
1,16,0.02189244885927827
1,17,0.021870742899840645
1,18,0.021011763579707812
1,19,0.02057637767770267
2,0,0.040960480581605216
2,1,0.04191485378031066
2,2,0.04289742156288471
2,3,0.0432407203795963
2,4,0.04233217003901051
2,5,0.04149025459263631
2,6,0.04063359660024818
2,7,0.03967654295560264
2,8,0.03943143371187111
2,9,0.03964040576056373
2,10,0.041732546399118914
2,11,0.04334670863432846
2,12,0.04587857553385464
2,13,0.047385847578479245
2,14,0.052383393171259375
2,15,0.0612071536307503
2,16,0.07891782399028269
2,17,0.09633006088667688
2,18,0.11033731880829473
2,19,0.11442745953736004
3,0,0.013333740309305842
3,1,0.013320960420534503
3,2,0.013313746393992826
3,3,0.013261007401610557
3,4,0.012941431175308825
3,5,0.012531476637115777
3,6,0.012195087342922581
3,7,0.012041416142822378
3,8,0.011811848614247623
3,9,0.011616662968853478
3,10,0.011780733792312608
3,11,0.012528482208413032
3,12,0.01404997732334963
3,13,0.01615118580271525
3,14,0.018979874256444873
3,15,0.022230499254349567
3,16,0.02613510520532852
3,17,0.029878769035296623
3,18,0.03216700655935831
3,19,0.0330578527764389
