match_id,secuencia_rival_id,cluster_trayectoria,n_clusters_global
199542,1,2,4
199542,2,0,4
199542,3,3,4
199542,4,1,4
199542,5,3,4
199542,6,2,4
199542,7,2,4
199542,8,2,4
199542,9,3,4
199542,10,3,4
199542,11,3,4
199542,12,3,4
199542,13,3,4
199542,14,3,4
199542,15,3,4
199542,16,3,4
199542,17,1,4
199542,18,1,4
199542,19,3,4
199542,20,1,4
199542,21,3,4
199542,22,2,4
199542,23,2,4
199542,24,2,4
199542,25,2,4
199542,26,2,4
199542,27,3,4
199542,28,2,4
199542,29,2,4
199542,30,3,4
199542,31,3,4
199542,32,2,4
199542,33,2,4
199542,34,0,4
199542,35,2,4
199542,36,0,4
199542,37,1,4
199542,38,0,4
199542,39,3,4
199542,40,3,4
199542,41,0,4
199542,42,1,4
199542,43,1,4
199542,44,1,4
199542,45,1,4
199542,46,3,4
199542,47,3,4
199542,48,2,4
199542,49,2,4
199542,50,1,4
199542,51,3,4
199542,52,1,4
199542,53,3,4
199542,54,1,4
199542,55,1,4
199542,56,2,4
199542,57,2,4
199542,58,2,4
199542,59,3,4
199542,60,2,4
199542,61,2,4
199542,62,2,4
199542,63,3,4
199542,64,2,4
199542,65,3,4
199542,66,2,4
199542,67,2,4
199542,68,2,4
199542,69,1,4
199542,70,0,4
199542,71,2,4
199542,72,2,4
207673,1,3,4
207673,2,2,4
207673,3,3,4
207673,4,2,4
207673,5,2,4
207673,6,1,4
207673,7,3,4
207673,8,1,4
207673,9,3,4
207673,10,3,4
207673,11,3,4
207673,12,2,4
207673,13,2,4
207673,14,2,4
207673,15,3,4
207673,16,1,4
207673,17,3,4
207673,18,2,4
207673,19,1,4
207673,20,1,4
207673,21,3,4
207673,22,3,4
207673,23,3,4
207673,24,2,4
207673,25,2,4
207673,26,3,4
207673,27,2,4
207673,28,2,4
207673,29,0,4
207673,30,3,4
207673,31,2,4
207673,32,0,4
207673,33,0,4
207673,34,1,4
207673,35,3,4
207673,36,3,4
207673,37,3,4
207673,38,2,4
207673,39,0,4
207673,40,2,4
207673,41,0,4
207673,42,0,4
207673,43,0,4
207673,44,1,4
207673,45,3,4
207673,46,1,4
207673,47,2,4
207673,48,0,4
207673,49,1,4
207673,50,3,4
207673,51,2,4
207673,52,2,4
207673,53,2,4
207673,54,3,4
207673,55,2,4
207673,56,1,4
207673,57,1,4
207673,58,1,4
207673,59,3,4
207673,60,3,4
207673,61,1,4
207673,62,2,4
207673,63,2,4
207673,64,0,4
207673,65,2,4
207673,66,0,4
207673,67,0,4
207673,68,0,4
207673,70,2,4
207673,71,1,4
207673,72,2,4
207673,73,2,4
207673,74,2,4
207673,75,2,4
207673,76,0,4
207673,77,1,4
207673,78,3,4
207673,79,3,4
207673,80,0,4
207673,81,0,4
207673,82,0,4
207673,83,1,4
207673,84,2,4
207673,85,3,4
207673,86,3,4
207673,87,1,4
207673,88,1,4
207673,89,0,4
207673,90,0,4
207673,91,2,4
207673,92,3,4
207673,93,3,4
207673,94,2,4
207673,96,0,4
209425,1,1,4
209425,2,1,4
209425,3,2,4
209425,4,1,4
209425,5,2,4
209425,6,2,4
209425,7,2,4
209425,8,0,4
209425,10,2,4
209425,11,1,4
209425,12,1,4
209425,13,1,4
209425,14,1,4
209425,15,2,4
209425,16,1,4
209425,17,1,4
209425,18,1,4
209425,19,0,4
209425,20,1,4
209425,21,1,4
209425,22,0,4
209425,23,0,4
209425,24,1,4
209425,25,3,4
209425,26,1,4
209425,27,1,4
209425,28,0,4
209425,29,0,4
209425,30,3,4
209425,31,3,4
209425,32,1,4
209425,33,3,4
209425,34,3,4
209425,35,1,4
209425,36,1,4
209425,37,1,4
209425,38,0,4
209425,39,0,4
209425,40,2,4
209425,41,2,4
209425,42,2,4
209425,43,3,4
209425,44,1,4
209425,45,0,4
209425,46,0,4
212200,1,1,4
212200,2,0,4
212200,3,2,4
212200,4,1,4
212200,5,1,4
212200,6,1,4
212200,7,3,4
212200,8,3,4
212200,9,1,4
212200,10,1,4
212200,11,1,4
212200,12,0,4
212200,13,0,4
212200,14,0,4
212200,15,2,4
212200,16,1,4
212200,17,2,4
212200,18,0,4
212200,19,2,4
212200,20,3,4
212200,21,2,4
212200,22,3,4
212200,23,3,4
212200,24,2,4
212200,25,2,4
212200,26,1,4
212200,27,3,4
212200,28,1,4
212200,29,1,4
212200,30,3,4
212200,31,1,4
212200,32,3,4
212200,33,1,4
212200,34,2,4
212200,35,3,4
212200,36,3,4
212200,37,3,4
212200,38,2,4
212200,39,2,4
212200,40,0,4
212200,41,0,4
212200,42,3,4
212200,43,3,4
212200,44,1,4
212200,45,1,4
212200,46,3,4
212200,47,1,4
212200,48,1,4
212200,49,3,4
212200,50,2,4
212200,51,2,4
212200,52,0,4
212200,53,2,4
212200,54,3,4
212200,55,0,4
212200,56,0,4
212200,57,3,4
212200,58,1,4
212200,59,2,4
212200,60,2,4
212200,61,1,4
212200,62,1,4
